COSTOS BARATERO ,,,,
CONS.,C.B.A,DESCRIPCIÓN,UNIDAD DE MEDIDA, PRECIO UNITARIO 
ABARROTES ,480 406 1100 00,"Harina de trigo bolsa de papel (1000 g) (Harina de hotcakes, hornear)",KILO,
ABARROTES ,480 405 0301 01,Harina maíz s/nixtamalizado con sabor (1000 g) (Fécula con sabor),KILO,
ABARROTES ,480 405 0301 02,Harina maíz s/nixtamalizado de sabores sobres (50 g) (Fécula de sabor),CAJA C/50 SOBRES DE 50 g,
ABARROTES ,480 405 0300 01,Harina de maiz s/nixtamalizar sin sabor (1000g) (Fécula sin sabor),KILO,
ABARROTES ,480 805 0300 00,"Hierbas de olor (laurel, mejorana, tomillo) (Mix)",KILO,
ABARROTES ,480 405 0400 00,Hojuelas de maíz sin azúcar caja (660g),CAJA DE 660 g,
ABARROTES ,480 606 0300 00,Jamoncillo (30 g),PIEZA DE 30 g,
ABARROTES ,480 602 0904 00,Jugo de Manzana Ultrapasteurizado (1000 ml),ENVASE DE 1000 ml,
ABARROTES ,480 602 0903 01,Jugo de Manzana Ultrapasteurizado (250 ml),ENVASE DE 250 ml,
ABARROTES ,480 602 0907 00,Jugo de Uva Ultrapasteurizado (1000 ml),ENVASE DE 1000 ml,
ABARROTES ,480 602 0907 01,Jugo de Uva Ultrapasteurizado (250 ml),ENVASE DE 250 ml,
ABARROTES ,480 805 0301 00,Laurel (1000 g),KILO,
ABARROTES ,480 504 0100 01,Lenteja  (1000 g),KILO,
ABARROTES ,480 405 0101 00,Maíz cacahuazintle precocido (1000 g) (maíz pozolero),KILO,
ABARROTES ,480 702 0200 00,Manteca vegetal papel parafinado (1000 g) ,KILO,
ABARROTES ,480 703 0100 02,Mayonesa (3350 g),ENVASE DE 3350 g,
ABARROTES ,480 703 0100 05,Mayonesa (1000 g),ENVASE DE 1000 g,
ABARROTES ,480 703 0100 03,Mayonesa (500 g),ENVASE DE 500 g,
ABARROTES ,480 703 0100 00,Mayonesa (390 g),ENVASE DE 390 g,
ABARROTES ,480 805 0302 00,Mejorana (1000 g),KILO,
ABARROTES ,480 610 0301 00,Mermelada de fresa individual (20 g) caja 250 piezas,CAJA C/250 PIEZAS DE 20 g,
ABARROTES ,480 611 0100 01,Miel de abeja frasco de vidrio de (500 g),FRASCO DE 500 g,
ABARROTES ,480 611 0100 00,Miel de abeja frasco de vidrio de (330 g),FRASCO DE 330 g,
ABARROTES ,480 611 0200 00,Miel de maíz frasco de vidrio de (500 ml),FRASCO DE 500 g,
ABARROTES ,480 302 2601 01,Mole poblano o rojo en pasta (1000 g),KILO,
ABARROTES ,480 302 2602 01,Mole verde en pasta (1000 g),KILO,
ABARROTES ,480 809 0300 00,Mostaza preparado (450 g),ENVASE DE 450 g,
ABARROTES ,480 603 0200 00,Nieve de sabores (1000 ml),ENVASE DE 1000 ml,
ABARROTES ,480 704 0400 00,Nuez sin cascara  (1000g),KILO,
ABARROTES ,480 802 0800 01,Orégano en hoja (60 g),EMPAQUE DE 60 g,
ABARROTES ,480 607 0600 00,Palanqueta de cacahuate bolsa individual de celofán (30 g),PIEZA DE 30 g,
ABARROTES ,480 607 0700 00,Palanqueta de pepita bolsa individual de celofán pieza (30 g),PIEZA DE 30 g,
ABARROTES ,480 603 0300 00,Paleta helada individual bolsa individual metalizada de polietileno (120 ml),PIEZA DE 120 ml,
ABARROTES ,480 406 2600 01,"Pastas para Sopa Cortas (Codito, 500 g)",PAQUETE DE 500 g,
ABARROTES ,480 406 2601 01,"Pastas para Sopa Cortas (Fideo, 500 g)",PAQUETE DE 500 g,
ABARROTES ,480 406 2602 01,"Pastas para Sopa Cortas (Letras, 500 g)",PAQUETE DE 500 g,
ABARROTES ,480 406 2603 01,"Pastas para Sopa Cortas (Munición, 500 g)",PAQUETE DE 500 g,
ABARROTES ,480 406 2604 01,"Pastas para Sopa Cortas (Pipirín, 500 g)",PAQUETE DE 500 g,
ABARROTES ,480 406 2605 01,"Pastas para Sopa Cortas (Pluma, 500 g)",PAQUETE DE 500 g,
ABARROTES ,480 406 2606 01,"Pastas para Sopa Largas (Espagueti, 500 g)",PAQUETE DE 500 g,
ABARROTES ,480 406 2607 01,"Pastas para Sopa Largas (Macarrón, 500 g)",PAQUETE DE 500 g,
ABARROTES ,480 406 2608 01,"Pastas para Sopa Largas (Tallarín, 500 g)",PAQUETE DE 500 g,
ABARROTES ,480 805 0600 00,Perejil (1000 g),KILO,
ABARROTES ,480 601 0300 00,Piloncillo (1000 g),KILO,
ABARROTES ,480 802 0903 00,Pimienta blanca entera (60 g),EMPAQUE DE 60 g,
ABARROTES ,480 802 0902 00,Pimienta negra entera (60 g),EMPAQUE DE 60 g,
ABARROTES ,480 802 0901 00,Pimienta negra molida (60 g),EMPAQUE DE 60 g,
ABARROTES ,480 807 0100 00,Polvo para hornear  (454 g),EMMPAQUE DE 454 g,
ABARROTES ,480 609 0100 01,Polvo para preparar gelatina de agua bolsa de polipropileno (1000g) ,EMPAQUE DE 1000 g,
ABARROTES ,480 609 0100 00,Polvo para preparar gelatina de agua bolsa de polipropileno (140g) ,EMPAQUE DE 1000 g,
ABARROTES ,480 609 0200 01,Polvo para preparar gelatina de leche bolsa de polipropileno (1000 g),EMPAQUE DE 1000 g,
ABARROTES ,480 609 0200 00,Polvo para preparar gelatina de leche bolsa de polipropileno (140 g),EMPAQUE DE 1000 g,
ABARROTES ,480 609 0101 00,Polvo para preparar gelatina de agua baja en calorías bolsa de polipropileno (25 g),EMPAQUE DE 25 g,
ABARROTES ,480 808 0200 00,Sal refinada yodada bolsa de plástico (1000 g),EMPAQUE DE 1000 g,
ABARROTES ,480 809 0400 01,Salsa de tomate (cátsup) botella de plástico (450 g),BOTELLA DE PLASTICO DE 450 g,
ABARROTES ,480 406 2700 00,Salvado de trigo (500 g),PAQUETE DE 500 g,
ABARROTES ,480 704 0500 00,Semilla de calabaza limpia (1000g),KILO,
ABARROTES ,480 505 0400 00,Soya procesada texturizada bolsa de polietileno de (500 g),EMPAQUE DE 500 g,
ABARROTES ,480 806 0400 00,Te de limón zacate natural (1000 g),KILO,
ABARROTES ,480 806 0500 00,Te de manzanilla natural (1000 g),KILO,
ABARROTES ,480 806 0600 00,Te de naranjo natural (1000 g),KILO,
ABARROTES ,480 806 0700 00,Te de yerbabuena natural (1000 g),KILO,
ABARROTES ,480 806 0401 01,Te limón zacate individual caja 100 sobres.,CAJA C/1000 SOBRES,
ABARROTES ,480 806 0501 01,Te manzanilla individual caja 100 sobres.,CAJA C/1000 SOBRES,
ABARROTES ,480 806 0701 01,Te yerbabuena individual caja 100 sobres.,CAJA C/1000 SOBRES,
ABARROTES ,480 805 0303 00,Tomillo (1000 g),KILO,
ABARROTES ,480 808 0300 00,Vinagre de frutas envase de plástico (1000 ml),ENVASE DE 1000 ml,
PROTEINAS DE ORIGEN ANIMAL ,480 108 0200 00,Bistec pierna res (120 g),KILO,
PROTEINAS DE ORIGEN ANIMAL ,480 106 0203 00,Cazón fresco en filete (Reb 150 g),KILO,
PROTEINAS DE ORIGEN ANIMAL ,480 108 0300 00,Chambarete de res  (120 g),KILO,
PROTEINAS DE ORIGEN ANIMAL ,480 101 0100 00,Chuleta de Cerdo (150 g),KILO,
PROTEINAS DE ORIGEN ANIMAL ,480 108 0600 00,Falda de res (120 g),KILO,
PROTEINAS DE ORIGEN ANIMAL ,480 109 0100 00,Huevo entero (55 g),KILO,
PROTEINAS DE ORIGEN ANIMAL ,480 101 0200 00,Lomo de cerdo (120 g),KILO,
PROTEINAS DE ORIGEN ANIMAL ,480 106 0701 00,Mero en filete (120 g),KILO,
PROTEINAS DE ORIGEN ANIMAL ,480 106 0802 00,Mojarra filete fresco (120 g),KILO,
PROTEINAS DE ORIGEN ANIMAL ,480 107 0403 00,Muslo de pollo sin piel (pieza 140 g),KILO,
PROTEINAS DE ORIGEN ANIMAL ,480 107 0302 00,Pechuga de pollo deshuesada sin piel y aplanada (90 g),KILO,
PROTEINAS DE ORIGEN ANIMAL ,480 107 0301 00,Pechuga de pollo deshuesada (90 g),KILO,
PROTEINAS DE ORIGEN ANIMAL ,480 107 0303 00,Pechuga de pollo deshuesada y molida (120 g),KILO,
PROTEINAS DE ORIGEN ANIMAL ,480 107 0300 00,Pechuga de pollo sin piel y con hueso ,KILO,
PROTEINAS DE ORIGEN ANIMAL ,480 105 0100 00,Pechuga pavo congelada (1000g),KILO,
PROTEINAS DE ORIGEN ANIMAL ,480 101 0301 00,Pierna cerdo trozo (120 g),KILO,
PROTEINAS DE ORIGEN ANIMAL ,480 101 0300 00,Pierna de cerdo entero. sin/hueso (120 g),KILO,
PROTEINAS DE ORIGEN ANIMAL ,480 101 0302 00,Pierna de cerdo molida (120g),KILO,
PROTEINAS DE ORIGEN ANIMAL ,480 107 0402 00,Pierna de pollo sin piel (pieza 150 g),KILO,
PROTEINAS DE ORIGEN ANIMAL ,480 107 0401 00,Pierna y muslo de pollo con hueso y sin piel (200 g),KILO,
PROTEINAS DE ORIGEN ANIMAL ,480 107 0500 00,Pollo entero (pieza 1500 g),KILO,
PROTEINAS DE ORIGEN ANIMAL ,480 108 0700 00,Pulpa de res en trozo (120 g),KILO,
PROTEINAS DE ORIGEN ANIMAL ,480 108 0701 00,Pulpa de res molida (100 g),KILO,
LÁCTEOS ,480 701 0100 00,Crema entera de leche de vaca envase de polietileno de (900ml),ENVASE DE 300 ml,
LÁCTEOS ,480 201 0100 03,Leche descremada en polvo lata (1600 g),LATA DE 1600 g,
LÁCTEOS ,480 201 0100 01,Leche descremada en Polvo (500 g),LATA DE 500 g,
LÁCTEOS ,480  201  0101 01,Leche descremada ultrapasteurizada (1000 ml),ENVASE DE 1000 ml,
LÁCTEOS ,480 201 0101 00,Leche descremada ultrapasteurizada (250 ml),ENVASE DE 250 ml,
LÁCTEOS ,480 201 0200 00,Leche entera deslactosada ultrapasteurizada (1000 ml),ENVASE DE 1000 ml,
LÁCTEOS ,480 201 0301 00,"Leche entera evaporada o concentrada, ultra pack, lata (410 ml)",ENVASE O LATA DE 410 ml,
LÁCTEOS ,480 201 0302 00,Leche entera pasteurizada (1000 ml),ENVASE DE 1000 ml,
LÁCTEOS ,480 201 0500 00,Leche semidescremada ultrapasteurizada (1000 ml),ENVASE DE 1000 ml,
LÁCTEOS ,480 701 0200 00,Mantequilla sin Sal (1000 g),PIEZA DE 1000 g,
LÁCTEOS ,480 701 0200 01,Mantequilla sin Sal (500 g),PIEZA DE 500 g,
LÁCTEOS ,480 701 0200 03,Mantequilla sin Sal (220 g),PIEZA DE 220 g,
LÁCTEOS ,480 701 0200 02,Mantequilla sin Sal (90 g),PIEZA DE 90 g,
LÁCTEOS ,480 701 0201 00,Mantequilla sin Sal en Envase Individual (10 g),ENVASE INDIVIDUAL DE 10 g,
LÁCTEOS ,480 701 0101 00,Media crema de leche de vaca lata (225 g),LATA DE 225 g,
LÁCTEOS ,480 202 0204 01,Queso añejo (1000 g),EMPAQUE DE 1000 g,
LÁCTEOS ,480 202 0207 02,Queso cottage bajo en Grasas (1000 g),ENVASE DE 1000 g,
LÁCTEOS ,480 202 0207 01,"Queso cottage bajo en Grasas (Pieza 500 g, Paquete 1000 g)",ENVASE DE 1000 g,
LÁCTEOS ,480 202 0100 01,"Queso fresco (1000 g), envasado en empaque impermeable",EMPAQUE DE 1000 g,
