CLAVE,CLAVE ALTERNA,DESCRIPCION,SERVICIO (S/N),INV_MIN,INV_MAX,PRECIO COMPRA,PRECIO 1,PRECIO 2,MAYOREO 2,PRECIO 3,MAYOREO 3,PRECIO 4,MAYOREO 4,EXIST.,PESO,CARACTERISTICAS,DEPARTAMENTO,CATEGORIA,RECETA (S/N),GRANEL (S/N),IMPUESTO (S/N),IMP IEPS 8(S/N),IMP IEPS 30(S/N),IMP ISR 1.25(S/N),IMP IEPS 28.52(S/N),IMP IVA(S/N),IMP Imp.Loc.Tra.IE 4.5(S/N),IMP IEPS 26.55(S/N),IMP IEPS 6(S/N),IMP ISR 1.25(S/N),IMP IVA(S/N)
1092,,JALADOR METALICO,false,0,0,38.791,42.670100,44.609650,0.000,41.894000,0.000,0.000000,0.000,6.0000,0.0000,,RACK 1,ART. LIMPIEZA,N,N,S,N,N,N,N,N,N,N,N,N,N
1096,,FIBRA METALICA 40GR CAPITAN KLEAN,false,0,0,47.164,4.323370,4.519880,0.000,0.000000,0.000,0.000000,0.000,-350.0000,0.0000,,RACK 1,ART. LIMPIEZA,N,N,S,N,S,N,N,N,N,N,N,N,N
7500326438448,1099,FRANELA 80 X 50 PIEZA CAPITAN KLEAN,false,0,0,9.623,10.585000,11.066000,0.000,0.000000,0.000,0.000000,0.000,-536.0000,0.0000,,RACK 1,ART. LIMPIEZA,N,N,S,N,N,N,N,N,N,N,N,N,N
1100,,BATERIA DE LITIO  3 VOLT,false,0,0,16.380,86.724000,90.666000,0.000,0.000000,0.000,0.000000,0.000,30.0000,0.0000,,RACK 1,ART. LIMPIEZA,N,N,S,N,N,N,N,N,N,N,N,N,N
11017518209225,,PAÑO MICROFIBRA 30X30 CMS,false,0,0,8.620,9.482000,9.913000,0.000,0.000000,0.000,0.000000,0.000,-576.0000,0.0000,,RACK 1,ART. LIMPIEZA,N,N,S,N,N,N,N,N,N,N,N,N,N
1104,,BOLIS  MIXUMO PAQUETES C/20 PZA,false,0,0,27.000,29.700000,52.941180,0.000,21.176470,0.000,0.000000,0.000,0.0000,0.0000,,SIN DEFINIR,SIN DEFINIR,N,N,N,N,N,N,N,N,N,N,N,N,N
7501219111042,1110,PLATO PLASTICO # 5 DIVISION PAQUETE C/25 PZA PRIMO,false,0,0,28.428,31.271000,32.692000,0.000,0.000000,0.000,0.000000,0.000,272.0000,0.0000,,SIN DEFINIR,SIN DEFINIR,N,N,S,N,N,N,N,N,N,N,N,N,N
7502208800015,1111,VASO # 4A PAQUETE C/50 PZA REYMA.,false,0,0,18.970,6.955667,7.271833,0.000,0.000000,0.000,0.000000,0.000,-277.0000,0.0000,,SIN DEFINIR,SIN DEFINIR,N,N,S,N,N,N,N,N,N,N,N,N,N
7502208802101,1112,TAPA PLASTICA # 4A/8 PAQUETE C/50 PZA REYMA,false,0,0,543.758,30.250000,31.625000,0.000,0.000000,0.000,0.000000,0.000,-257.0000,0.0000,,SIN DEFINIR,SIN DEFINIR,N,N,S,N,N,N,N,N,N,N,N,N,N
7500463401749,1113,SOYA TEXTURIZADA WAND DE 300GR,false,0,0,58.000,63.800000,66.700000,0.000,0.000000,0.000,0.000000,0.000,-13.0000,0.0000,,SIN DEFINIR,SIN DEFINIR,N,N,N,N,N,N,N,N,N,N,N,N,N
3393.0010.0010.0010.05,,Requisicion de servicio,false,0,0,0.000,0.000000,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,0.0000,,SIN DEFINIR,SIN DEFINIR,N,S,S,N,N,N,N,N,N,N,N,N,N
